Code,Quartier
D01,BISCUITERIE
D02,MERMOZ SACRE COEUR
D03,CAMBERENE
D04,COLOBANE FASS GUEULE TAPEE
D05,DIEUPPEUL DERKLE
D06,FANN POINTE AMITIE
D07,GRAND DAKAR
D08,GRAND YOFF
D09,HANN BELAIR
D10,HLM
D11,MEDINA
D12,N’GOR
D13,OUAKAM
D14,PARCELLES ASSAINIES
D15,PATTE D’OIE
D16,PLATEAU
D17,SICAP LIBERTE
D18,YOFF
G01,GOLFE SUD
G02,MEDINA GOUNASS
G03,N’DIAREME LIMAMOULAYE
G04,SAM NOTAIRES
G05,WAKHINANE NIMZATT
R01,DIAMNIADIO SEBIKOTANE
R02,JAXAAY PARCELLE NIAKOUL RAP TIVAOUANE PEULH NIAGHA
R03,RUFISQUE CENTRE(NORD)
R04,RUFISQUE EST
R05,BARGNY
R06,RUFISQUE OUEST
R07,SENDOU YENE
R08,BAMBYLOR SANGALKAM
P01,DALIFORT
P02,GUINAW RAIL NS PIKINE OUEST
P03,PIKINE EST–SUD
P04,DJIDAH THIAROYE KAO YEUMBEUL SUD
P05,DIACKSAO THIAROYE GARE
P06,DIAMAGUENE SICAP M’BAO
P07,THIAROYE SUR MER
P08,MALIKA YEUMBEUL NORD
P09,KEUR MASSAR
P10,MBAO
